"","PROM_GRAL_2018","PROM_GRAL_2019","GEN_ALU","ASISTENCIA_2018"
"202",6.7,6.7,"2",96
"203",5.8,5.8,"1",91
"204",5.1,5.1,"1",95
"205",5.9,5.2,"2",94
"206",6.1,5.9,"1",98
"207",6.4,6.4,"2",91
"208",5.5,5.1,"1",95
"209",5.4,6.1,"2",94
"210",5.9,6,"2",88
"211",6.2,6.3,"2",99
"212",5.5,5.7,"1",94
"213",5.8,6,"2",87
"214",5.9,6.3,"2",97
"215",6.1,6.3,"1",93
"216",5.5,6,"1",99
"217",4.9,5.2,"1",98
"218",6.2,6.2,"2",86
"219",6.5,6.3,"2",99
"220",6,5.5,"2",99
"221",6.7,6.8,"2",100
"222",6.6,6.5,"2",78
"223",6.1,6.4,"1",100
"224",5.7,5.4,"2",91
"225",6.7,6.8,"2",99
"226",6.2,6.3,"1",99
"227",5.3,5,"1",93
"228",5.8,5.3,"2",98
"229",5.8,5.6,"1",98
"230",6,4.9,"2",94
"231",5.9,4.8,"2",90
"232",6.3,6.3,"2",100
"233",6.4,6.4,"1",99
"234",5.5,4.8,"1",100
"235",6.3,6.4,"2",94
"236",6.6,6.4,"2",93
"237",5.1,5.1,"1",87
"238",5.5,5.2,"1",85
"239",6.5,6.6,"1",99
"240",5.2,5.6,"1",83
"241",7,6.8,"1",95
"242",5.1,4.8,"1",96
"243",5.3,5.3,"2",97
"244",6.9,6.6,"2",89
"245",4.9,4.7,"1",75
"246",5.7,5.1,"2",86
"247",5.4,5.5,"2",100
"248",5.4,4.7,"1",94
"249",5.2,5,"1",97
"250",5.3,5.5,"2",93
"251",6.5,5.7,"1",96
"252",5.7,5.8,"1",99
"253",6,4.8,"1",98
"254",5.3,5.3,"1",91
"255",5.7,5.4,"2",88
"256",4.8,4.8,"2",90
"257",5.4,5.8,"2",87
"258",5.7,6.1,"2",93
"259",6.2,6.5,"2",99
"260",5.6,5.7,"1",98
"261",6.2,6.1,"2",90
"262",5.2,4.7,"2",84
"263",6.8,6.8,"1",92
"264",6.4,6.1,"1",93
"265",5.7,5.5,"2",85
"266",5,4.2,"1",98
"267",5.6,5.9,"1",94
"268",5.3,4.7,"1",94
"269",5.8,6.2,"2",95
"270",5.7,6,"2",94
"271",5.6,5.3,"1",96
"272",4.7,4.5,"2",94
"273",5.4,5.4,"1",94
"274",4.6,3.7,"1",90
"275",6.7,6.4,"1",97
"276",6.5,6.5,"2",93
"277",5.8,5.9,"1",86
"278",5.9,5.7,"2",93
"279",5.6,4.8,"2",99
"280",6.5,6.8,"2",95
"281",5.1,4,"2",97
"282",5.1,4.8,"1",91
"283",6.7,6.1,"1",95
"284",5.6,5.1,"1",95
"285",6.4,6.1,"2",99
"286",5.8,5.5,"1",99
"287",5.3,5.3,"1",97
"288",6,6,"2",97
"289",6.5,6.4,"2",100
"290",6,6.4,"1",94
"291",6,5.3,"2",94
"292",5.7,5.6,"2",98
"293",5.1,5.4,"1",100
"294",6.3,6.6,"1",94
"295",4.7,4.7,"2",80
"296",5,4.9,"2",80
"297",5.9,5.9,"2",98
"298",6,5.6,"2",100
"299",5.7,6,"1",92
"300",6.2,6.3,"1",97
"301",5.6,5,"2",95
"302",5.2,5.7,"2",67
"303",5.9,5.1,"2",90
"304",5.3,4.7,"2",88
"305",6.7,6.8,"2",94
"306",5.3,4.7,"2",93
"307",5.9,6,"2",81
"308",5.7,5.6,"1",81
"309",6,6.4,"1",97
"310",6.4,6.3,"2",99
"311",4.6,4.6,"1",96
"312",5.7,5.3,"1",98
"313",6.4,6.1,"1",100
"314",6.5,6.7,"2",100
"315",6.1,5.8,"2",89
"316",5.3,5.2,"2",92
"317",6.3,5.7,"2",98
"318",5.7,5.6,"1",99
"319",6.1,5,"1",98
"320",6.3,5.5,"2",95
"321",5.5,6.3,"1",91
"322",6.2,6.3,"1",94
"323",5.7,5.2,"1",94
"324",6,5.7,"2",93
"325",6.7,6.8,"1",93
"326",5.4,5.4,"1",94
"327",6.1,5.7,"1",93
"328",5.8,5.2,"2",100
"329",5.9,5.5,"2",94
"330",5.1,4.9,"2",96
"331",6.4,6.6,"1",93
"332",5.8,5.3,"1",98
"333",5.8,5.9,"2",89
"334",5.9,5.8,"2",90
"335",6.7,6.9,"1",98
"336",6.5,6.9,"2",99
"337",4.9,5,"2",96
"338",6.3,6.4,"1",95
"339",5,5,"1",97
"340",6.7,6.2,"2",99
"341",5.4,4.9,"2",72
"342",6.3,6.2,"2",83
"343",6.6,6.5,"2",100
"344",6.7,6.9,"1",100
