"","COD_REG_RBD","RURAL_RBD","GEN_ALU","EDAD_ALU","PROM_GRAL","ASISTENCIA","CIENCIAS"
"151",2,0,2,17,6,98,"0"
"152",1,0,2,17,6.2,94,"0"
"153",13,0,2,17,6.1,92,"0"
"154",10,0,2,17,6.7,90,"0"
"155",10,0,1,18,5.1,83,"0"
"156",7,0,2,17,6.5,95,"0"
"157",4,0,2,17,6.5,98,"0"
"158",7,0,1,18,6.4,93,"0"
"159",13,0,2,17,6.3,99,"0"
"160",5,0,2,17,6.3,96,"0"
"161",13,0,2,22,4.9,82,"0"
"162",13,0,2,18,5.5,85,"0"
"163",2,0,2,17,6.1,85,"0"
"164",13,0,1,17,5.3,79,"0"
"165",13,0,2,17,6.8,87,"0"
"166",4,0,2,17,5.8,94,"0"
"167",4,0,1,17,6.2,97,"0"
"168",13,0,1,17,5.2,92,"0"
"169",13,0,2,17,5.8,96,"0"
"170",13,0,1,18,5.7,84,"0"
"171",10,1,2,17,6.5,91,"0"
"172",13,0,2,17,5.9,77,"0"
"173",16,0,1,17,6.2,90,"0"
"174",13,0,2,18,5.5,97,"0"
"175",7,0,2,17,6.2,97,"0"
"176",13,0,1,17,6.1,94,"0"
"177",13,0,2,33,6.2,97,"0"
"178",4,0,2,17,6.4,98,"0"
"179",5,0,2,17,6.2,99,"0"
"180",15,0,1,19,5.5,85,"0"
"181",6,0,2,17,6,51,"0"
"182",4,0,2,17,5.8,85,"0"
"183",13,0,1,17,6.7,96,"0"
"184",14,0,2,19,5.4,86,"0"
"185",13,0,1,17,5.2,97,"0"
"186",5,0,1,19,6.2,60,"0"
"187",13,0,1,18,5.1,93,"0"
"188",4,0,2,17,5.1,100,"0"
"189",4,0,2,17,6.4,99,"0"
"190",13,0,2,18,6.1,89,"0"
"191",13,0,2,18,6.4,96,"0"
"192",13,0,2,17,5,86,"0"
"193",3,0,1,17,6.1,97,"0"
"194",8,1,1,17,5.5,96,"0"
"195",7,0,1,23,5.2,96,"0"
"196",5,0,2,17,6.6,99,"0"
"197",10,0,1,18,5.8,99,"0"
"198",4,0,1,17,6.3,97,"0"
"199",13,0,2,17,6,88,"0"
"200",9,0,1,18,5.9,99,"1"
"201",13,0,1,17,6.2,94,"0"
"202",9,0,2,17,5.3,95,"0"
"203",15,0,2,17,6.3,99,"0"
"204",5,0,2,18,5.5,98,"0"
"205",5,0,2,17,6.8,100,"0"
"206",13,0,1,17,6.1,87,"0"
"207",13,0,2,17,6.3,96,"0"
"208",1,0,2,17,6.5,88,"0"
"209",13,0,2,17,6.4,93,"0"
"210",13,0,1,17,6.7,94,"0"
"211",1,0,1,17,5.4,90,"0"
"212",9,0,1,18,5.5,94,"0"
"213",8,0,2,17,6.5,97,"0"
"214",8,0,2,17,6.6,89,"0"
"215",4,0,1,17,6.2,97,"0"
"216",4,0,2,17,5.4,95,"0"
"217",8,0,2,17,6.6,94,"1"
"218",8,0,2,17,5.6,89,"0"
"219",13,0,2,17,5.8,89,"0"
"220",14,1,1,17,4.9,98,"0"
"221",2,0,2,17,5.6,85,"0"
"222",10,0,1,17,5.3,91,"0"
"223",5,0,2,17,6.4,90,"0"
"224",9,0,1,17,6.1,99,"0"
"225",10,0,2,17,6.3,97,"0"
"226",4,1,1,18,4.9,98,"0"
"227",13,0,1,17,6.6,94,"0"
"228",4,0,2,19,5.7,84,"0"
"229",5,0,1,18,5.8,96,"0"
"230",14,0,1,17,6,85,"0"
"231",13,0,1,23,5.6,85,"0"
"232",4,0,2,17,5.7,88,"0"
"233",13,1,1,17,5,90,"0"
"234",13,0,2,17,6.6,98,"0"
"235",13,0,2,17,5.8,100,"0"
"236",6,0,2,17,5.2,85,"0"
"237",13,0,1,18,6.3,84,"0"
